year,rank_display,university,score,link,country,city,region,logo
2017,138,University of Lausanne,56.3,https://www.topuniversities.com/universities/university-lausanne,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg
2017,139,Chalmers University of Technology,56.1,https://www.topuniversities.com/universities/chalmers-university-technology,Sweden,Gothenburg,Europe,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg
2017,140,Cardiff University,55.7,https://www.topuniversities.com/universities/cardiff-university,United Kingdom,Cardiff,Europe,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg
2017,141,Université Pierre et Marie Curie (UPMC),55.6,https://www.topuniversities.com/universities/universite-pierre-et-marie-curie-upmc,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-pierre-et-marie-curie-upmc_487_small.jpg
2017,141,University of Basel,55.6,https://www.topuniversities.com/universities/university-basel,Switzerland,Basel,Europe,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg
2017,141,University of Aberdeen,55.6,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg
2017,144,Erasmus University Rotterdam ,55.5,https://www.topuniversities.com/universities/erasmus-university-rotterdam,Netherlands,Rotterdam,Europe,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg
2017,145,University of Pittsburgh,55.1,https://www.topuniversities.com/universities/university-pittsburgh,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg
2017,146,RWTH Aachen University,55,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg
2017,147,Pontificia Universidad Católica de Chile (UC),54.7,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg
2017,148,The Hebrew University of Jerusalem,54.2,https://www.topuniversities.com/universities/hebrew-university-jerusalem,Israel,Jerusalem,Asia,https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg
2017,149,McMaster University,54.1,https://www.topuniversities.com/universities/mcmaster-university,Canada,Hamilton,North America,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg
2017,149,Emory University,54.1,https://www.topuniversities.com/universities/emory-university,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg
2017,151,National Tsing Hua University,53.9,https://www.topuniversities.com/universities/national-tsing-hua-university,Taiwan,Hsinchu City,Asia,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg
2017,152,University of Waterloo,53.8,https://www.topuniversities.com/universities/university-waterloo,Canada,Waterloo,North America,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg
2017,N/A,ESSEC Business School,,https://www.topuniversities.com/universities/essec-business-school,France,Cergy,Europe,https://www.topuniversities.com/sites/default/files/essec-business-school_198_small.jpg
2017,N/A,EBS Business School,,https://www.topuniversities.com/universities/ebs-business-school,Germany,Wiesbaden,Europe,https://www.topuniversities.com/sites/default/files/ebs-business-school_203_small.jpg
2017,N/A,HEC Paris School of Management,,https://www.topuniversities.com/universities/hec-paris-school-management,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/hec-paris-school-of-management_257_small.jpg
2017,N/A,King Abdullah University of Science & Technology (KAUST),,https://www.topuniversities.com/universities/king-abdullah-university-science-technology-kaust,Saudi Arabia,Thuwal,Asia,https://www.topuniversities.com/sites/default/files/king-abdullah-university-of-science-technology_2137_small.jpg
2017,N/A,Stockholm School of Economics,,https://www.topuniversities.com/universities/stockholm-school-economics,Sweden,,Europe,https://www.topuniversities.com/sites/default/files/stockholm-school-of-economics_576_small.jpg
2017,N/A,Bocconi University,,https://www.topuniversities.com/universities/bocconi-university,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_small.jpg
2017,N/A,Université de Technologie de Compiègne (UTC),,https://www.topuniversities.com/universities/universite-de-technologie-de-compiegne-utc,France,Compiègne,Europe,https://www.topuniversities.com/sites/default/files/universit-de-technologie-de-compigne-utc_592560cf2aeae70239af4f87_small.jpg
2017,N/A,Prague University of Economics and Business,,https://www.topuniversities.com/universities/prague-university-economics-business,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/prague-university-of-economics-and-business_592560cf2aeae70239af4f4f_small.jpg
2017,N/A,WHU - Otto Beisheim School of Management ,,https://www.topuniversities.com/universities/whu-otto-beisheim-school-management,Germany,Vallendar,Europe,https://www.topuniversities.com/sites/default/files/whu-otto-beisheim-school-of-management_321_small.jpg
2017,431-440,The University of Georgia,,https://www.topuniversities.com/universities/university-georgia,United States,Athens,North America,https://www.topuniversities.com/sites/default/files/the-university-of-georgia_227_small.jpg
2017,431-440,Beihang University (former BUAA),,https://www.topuniversities.com/universities/beihang-university-former-buaa,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/beihang-university-former-buaa_870_small.jpg
2017,431-440,HUFS - Hankuk (Korea) University of Foreign Studies ,,https://www.topuniversities.com/universities/hufs-hankuk-korea-university-foreign-studies,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/hufs-hankuk-korea-university-of-foreign-studies_1054_small.jpg
2017,431-440,Sharif University of Technology,,https://www.topuniversities.com/universities/sharif-university-technology,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/sharif-university-of-technology_592560cf2aeae70239af4d42_small.jpg
2017,431-440,Singapore Management University,,https://www.topuniversities.com/universities/singapore-management-university,Singapore,,Asia,https://www.topuniversities.com/sites/default/files/singapore-management-university_1177_small.jpg
